,answer,keywords
1494,0,Number yard degree Fahrenheit Celsius leg math equator point Water time Total global begin standard true false Emily Dickinson Greenwich England Countries Strings Oscars Pauly Shore question tricky latitude olympics trivia freeze wide long president circuit vowel bottom key typewriter
407,1,number state flag equal Texas mathematics foot weight snail math total science side pentagon power House Difference Speeds Dromedaries Security Council cell vote needed music string moon baroque alaska shaq delaware thick allocation quadrilateral care peat moss leaf generally official
403,10,Number team Derek bill math game Gruff Goldilocks Constitution card people Goats Pigs Hoyle Mississippi River Numerical Force Navarone Harrison Canada Richardson Fast-pitch minute geography part lacrosse player Congress Sundays measure standard Mohs President Syllables Monica Roman perfect day veto
1621,100,Number year Roman Garcia Marquez Solitude average Total Round stock napoleon square mathematics money test scored antique nouvelles Eiffel July John March Wilt Lincoln Tower Austrian French C-note York Exchange Louis XVIII World Book Greece Chamberlain Centennial Grimm Brothers Sleeping
3278,101 dalmatians,Smith Dodie Cruella disney film Pongo Spot animated dog tale classic brood flick live-action released villainess kidnapped top-grossing remake puppy Missis Birds Taylor Glenn Close Internet Database voice wrote Barking beast Patch Perdita Great Robbery Starlight Horrid litter year found
2075,11,Number Apollo columbia Moja player cricket mission Moon Louisville Danny Ocean Vegas Continue math kumi soccer team field game side root square roll crap year Spinal born space equal speak card dice throw harder command module nicknamed sport hockey allowed
180,12,number face game Total standard math measure Hercules weight Jesus roll dice player Legal USSR Sara Coleridge Greek Dodecanese Olympics checker troy common perform ounce mathematics trillion dot state wife pile card labor time pound musical System American lowest denominator
2900,12 angry men,Guilty Juror Fonda Henry Jack drama Tony classic film play Reginald Rose Franklin Schaffner Emmy Warden Studio remake movie Danza Dozen courtroom cinema directing trial hold Sidney Lumet Dudes Future Patton Klugman Nope Initially Lemmon George Scott convinces moviemakers lone
336,13,number teen flag dozen Confederacy arrow Supper star baker Seal magazine louis unlucky Total stripe Great Triskaidekaphobia fear American prime fillmore Friday Revolution England Luckily Ellery Mystery Leonardo OPEC Bars Babylonians Constitution Valhalla civil code amendment square root mitzvah eagle
1302,14,number line teen measure sonnet ultra equal British fortnight England High Frequency Elizabeth Barrett Browning Woodrow Wilson Points Allied Petrarchan Italian stone pound day poem carbon weight Shakespearean start love thee mozart dating rithmetic root total unit people science band
721,15,number teen Island Treasure math flag game dead chest pirate star Kentucky girl anne frank jane grey point sonnet tennis quinceanera Standard stripe divided easy root polygon side sing square time board player football minute beaver Security Lady Council Fried
997,16,number teen Total French game chess girl sweet pawn math found song traditional measure weight party string koala Louis Revolution Biggest Nintendo Super Ringo Starr Chuck Berry pool ball time shop make birthday driver quartet violin year sequence dream peach
1590,17,number teen haiku apollo syllable Vegas patent movie probability total President sequence standard song looked compare mathematics prime math year called minimum age blackjack dealer soft mission floor card Perry Japanese R-rated Strip Stalag Cats Sexy America Start Music Liesl
2260,1776,John Richard Henry Jefferson Musical year Lees gettysburg Virginia June Steinwehr Ave Thomas Howard Tony-winning Martha Hancock Nathan Hale Executed Spying Smith Wealth book number David song McCullough broadway article Continental Congress revolutionary Roman paine movie published Philadelphia historical feature
4926,1789,year Bastille Revolution July Washington France history time president constitution began effect dollar Paris Thomas Jefferson James Madison Vive Service George Hobsbawm Congress marshal century front celebrates Estates-General meet ending mob stormed america wrote quiet pierre plan created bill understatement
579,18,Number minimum math voting inch half state kentucky Gold parental amendment Constitution consent yard karat lowered Georgia Selective draft slice Bulgaria Colorado teen July Leon Uris mathematics Mila title hole heller degree bride groom history multiple scruple congress problem pure
3607,180,degree number straight turn school angle geometry half circle time measure Amount Putting Dragon Michael Behave Inside American High cook mathematics runner dash day arm created reverse direction round complete opinion plane foot including park ride move describes problem minute
4912,1861,civil Year Union battle bull Alexander Czar history began georgia jefferson davis senate alabama freed place January peasant Russia Southern President July April Fort Sumter kansa expulsion left elected term siege beginning secede boris serf surprise serfitude mind early major
4772,19,number President Decennoval teen hayes refers century salute relax Stones Nervous Lady Prince Vice Constitution Elizabeth Mary Scots Rolling Breakdown Diana Adele cabinet family engaged gun fewer amendment album year imprisoned fired arrival speaker house musical royal rutherford served drink
4808,1929,year market Black Oct. crash stock tuesday Great October Jones time high bill price history lost Monday John Kenneth Galbraith Dewaele Tour France Coco Chanel Paris Sacre Bleu York Journal Experts Rising Industrial Average Leading Depression plunged redesign currency wrote
4940,1941,year Harbor Navy Bill Belushi John WWII Indianapolis starred movie December Dec. Hitler Moscow Yamamoto Green Valley Picture Oscar Citizen Kane Congress Reuben James Halloween Jimmy Clue Crew Speedway Hose Clamp Special Capt Wild Kelso America Brothers Aykroyd Frank Knox
4872,1945,Year cold japan jima begun nuclear weapon time history ended October Soviet December Feb. June Nagasaki WWII United Nations Experts Glenn Eisenstaedt Union Tiny Wake Island Pacific Sept. American Series Anne Frank century territory held early found control foreign beginning
2537,1969,year Moon Woodstock music Vietnam Richard Fair Nixon White House July history walk president princeton World eisenhower number serviceman peak reached astronaut remember human quote Chicago Apollo Officially August Neil Armstrong Giant Leap Buzz Aldrin Jimi Hendrix Namath Jets Super
381,1984,Orwell year Winston Smith George Brother Ministry literature published returned book Oceania Peace April watching Truth MCMLXXXIV Bush best-seller Newspeak olympic classic O'Brien line Reagan Jeopardy Police tale list Freedom Slavery Ignorance word Strength loved future english torturer Burton Richard
120,2,Number Henry square math root year VIII state college measure standard flag science bicycle florida student ballet potpourri Minimum time Unlike side game player wing English Scrabble Cups Popsicle Doublemint Dale Evans Rogers East German African Cosby Final Chapter Tropic
1189,20,number score foot Starbucks Canadian year measure sesame street math game chart read weight human body visual acuity venti word test equal period regulation minute ounce time epic English Judith Gardenier Myles Berkowitz National Hockey Crests Candles Boyz Season Loneliness
4239,20/20,normal John Stossel Hindsight vision visual number show Emmys Muir test acuity Monday-morning Correspondents Chris Wallace Lynn Sherr Numerically Elizabeth Vargas David Billy Wilder Snellen newsmagazine touch score hail title stuttering quotation farewell prime close simple quarterback twentysomething designation start
3500,2000,year number leap election census presidential kid game show computer headline soap Bellamy Station Barring Gladiators Wheel Edward Backward Scientists Elian Gonzalez Cuba Lever Conan Clinton Senate International Space time calendar book unforeseen held recurrence full literature sends bug human
2128,2001: a space odyssey,Kubrick film movie Dave sci-fi black special classic monolith effect Arthur Clarke Stanley Frank visual Space year character Academy Released Early book mystery quote time Oscar Billion Pauline Kael Odyssey Richard Strauss Award Keir Dullea Poole Heywood Floyd Bowman Discovery
673,21,number game Card Street Customs salute state Approximate Dough Jeopardy Vegas numerical blackjack scout tomb point movie show title lapd step restaurant alcohol grandma World league bottom baseball covered taking giant boot difference monitor bring adele year minimum ping-pong amendment
4989,23,number prime jordan michael equal skidoo digit Bulls Wizards Lord Shepherd Kristi Gram Pepper Tropic Cancer James biology consecutive round phrase honor single human sperm cell chromosome math class fact figure lowest psalm pick lotto birthday chose unique blend flavor
656,24,number Jack show Bauer Pure gold Sutherland Kiefer Palmer Drama karat David President Series hour clock episode Ritter time Elisha Cuthbert Tony Almeida John Beep Secy Audrey sport math hand teenage daughter standard played denominator length solar common slice atomic
2258,25,Number Minimum square Congressman House math Newlywed Representatives state game fact figure percentage adult government football series show point bonus question root college team ball play mathematics Florida divided abbot boy Politics Yards Pacific Ocean Dave Clark Folds world orange
5148,26,mile marathon Number constitution Olympic card round Post Interestingly Etruscan Distance Jeopardy stupid industry state game person math divided kilometer drank beer yesterday answer basic Alpha-Bits ancient world earliest form contained letter business provide unemployment compensation maximum week begin calendar
80,3,number time state Total minimum sport ball Middle leaf East electoral Poison Carlson Canadian Miss Americas John root square book musical math point Richard standard president Olympic play trivia head Shakespeare continent life football term divided Island vote Fountain Commodores
1461,30,number Europe year Jones Industrial April Average math day senate measure Trust inch zodiac fact figure company included category reporter finish article time leap erupted central pound side angle weight lowest amount piece story minute film made degree movie Berkeley
2728,30 rock,show Tracy Donaghy Lemon Jack Jordan Tina persevere emmy sitcom Comedy cast Honky Grandma Kenneth dozen line Page character head title party building single Dropping number attend farmer writer sketch-comedy maketh film asked event viewer supporting Michaels Bowden Cerie Nickname
3014,300,Thermopylae game Spartans film perfect vatican City number bowling score movie fathom tenpin graphic Average Harold Greek kegler measure polo yard Jeopardy Haakon Olav Enjoy Hell History King Leonidas Gerard Butler Maximum Tricentennial Frank Miller Cottage Michael Fassbender Brady 2:50
2589,32,number teeth permanent Half human mouth ounce adult problem point compass minute story normal Antoinette January Fahrenheit Centigrade Sandy Koufax Simpson Magic Johnson Tennessee Ernie Ford Tons Money Tickets Paradise Billy Appropriately Freeze WFLD quart make swallow spot game piece
4955,35,president minimum number sequence Pass Article Luke Perry constitution eligible immanuel armed force birthday enlist required thirtysomething Andrew Johnson Senate amendment Prohibition United States Total vote cast person attained impeached single guilty vice math banning state-sponsored official religion slavery repealing
4247,360,degree Number angle tower total geometry circle area code convex polygon exterior Olympia Bellingham Vancouver square side mathematics math multiply weight measure minute hand standard clock travel hour toronto numerical revolving restaurant incredible view quadrilateral ready foosball illegal rotate rod
4070,3m,Scotch company tape Minnesota product Post-it Paul sandpaper parent Fortune alphanumeric note make American business office symbol thing develops incorporated industry encouraging employee idea year began mining corundum abrasive headquartered chemistry persisted environment pulled stock overthink sexiest potpourri pleasure reflective
4792,3rd rock from the sun,Solomon Dick Sally Earth John sitcom Lithgow French Harry alien head Giant show Official Report Kristen Johnston Stewart Joseph Cleese Pluto Stone Counting System Albright Mars Venus woman television teen world series professor book episode physics feature film review guide
105,4,Number Total card year time math game make World Olympic flush stomach weight side team standard player science sport president compartment elected day deck milk movie cell ball drink ronald reagan black Sound columbus buddha country wing homer dealt winter
1117,40,number day Jesus Lent Biblical time resurrection Life Jake Jeff hour acre rain work list wilderness devil wink begin half showed weather week thief walrus seed Recalling Swithin July Heaven Christ Monday Friday Firms Wednesday American Casey Congressman Elijah Mount
4562,400,number blows Title Truffaut Leaud film Gold meter movie familiar Jean-Pierre Olympics Rome Francois Israelites Egypt Michael Johnson Inspired Quadricentennial year measure bucket closest yard covering problem rent bought player ancient denarii idiom wild oat strike total captivity quadrigenarious equal
1907,48,number star Jima Total flag States howdy presidential United year Truman Seal raised American Original Jasper picket edge problem play card trivia wide cover length work show Johns freckle equaled increased fence brushed success salute pinochle deck school bought high
221,5,Number ballet year math shakespeare baseball major people dalai musical question foot star standard game Michele peck maximum century flag Counting Hollywood Pacific Ocean Minnie Minoso Stairsteps Satins Electrical Band Emily Post English Roman Traditional Originally Marx Brothers Torah Ballplayer
2045,50,number july American Simon Paul Leave Lover Assn Retired Persons flag roll standard minimum year song cinderella star time join reaching flown Dyken penny Senior Tour NCAA math round sport Army golden Italy Europe Pentamerone Canadian Celsius Fahrenheit Spanish half
3299,500,Cubbins Bartholomew number Seuss Standard Poor Roman Hats title total noah year stock index Brazil Portuguese NASCAR Winston Diehard Daytona Tennyson Valley Death Peace Quincentennial Proclaimers Miles senator literature closest bill bought celebrating discovery professional sport auto hundred digit charger
220,6,Number Total David Magen Ireland side leg star roll double foot League cell February Mike Supreme math iroquois county Dakotas Carolinas Chinese Republic Northern Kikar CTVRTLIK English Assuming Squares Brady Bunch Braille Judaism Greek John Sofia Valley day pocket table
2679,60,number Jamais math Contente Satisfied Babe Ruth minute religion Senate american heart round mile approximate degree roaring baseball lasted belong organized geography auto season home record lowest common train system needed Jan. Babylonians total sexagesimal dozen filibuster multiple day World
1760,60 minutes,show Sunday season night magazine year history time television Morley Safer program moved Hewitt Nixon slot Minutes back began Wednesday Tuesdays 1992-93 ticking series episode journalist Reports Internet Equatorial Guinea Jeopardy debuted Nielsen James Kilpatrick Shana Alexander Toronto-born September Humphrey
201,7,number year word flag giraffe neck stripe time star Arabian Supreme Traditionally Roman Cibola Spanish Coronado Elizabeth Taylor Officially Sullivan French Palm Sunday Easter NASA United States Nights Sinbad Luke Mary Magdalene Hollywood Mercury Heptameter Lawrence Pillars Wisdom Court people
4310,7 up,Uncola lithiated soda soft drink lemon-lime called bib-label Seagram Crown Orlando Jones Splenda nonpotent potable originally make campaign fruit quiz roaring debut sold famous cocktail combine lemon asked side clear folk whiskey real juice version special bubbly Heads alphanumeric launched
5013,7-eleven,convenience store Gulp chain Double Corp Southland company soft drink gallon soda parent business hour July Tokyo NYSE Playboy coffee Undercover Boss answer opening symbol magazine well-publicized operation 24-7 mere subsidiary stupid announced exchange worldwide began trading occurred removed named
